id,label,cLabelIdx,cCntryCode,cLCControlNumber,UpName
506,Texas Rose,TEXAS ROSE,,,TEXAS ROSE
507,Skyline,SKYLINE,,,SKYLINE
508,Blue Music,BLUE MUSIC,,,BLUE MUSIC
509,Ambiance,AMBIANCE,,,AMBIANCE
510,Blue Horizon,BLUE HORIZON,,,BLUE HORIZON
511,Tudor,TUDOR,,,TUDOR
512,Stony Plain,STONY PLAIN,,,STONY PLAIN
513,JIMCO,JIMCO,,,JIMCO
514,A-Records,A-RECORDS,,,A-RECORDS
515,Mad-Kat,MAD-KAT,,,MAD-KAT
516,Hugo's Music,HUGOS MUSIC,,,HUGO'S MUSIC
517,Anami,ANAMI,,,ANAMI
518,Theresa,THERESA,,,THERESA
519,Bean,BEAN,Italy,,BEAN
520,Chess,CHESS,,,CHESS
521,GRP/Chess,GRP/CHESS,,,GRP/CHESS
